# Program:featureCounts v1.6.4; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-a" "consensus_peaks.mRp.clN.saf" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "Tscm_R1.mLb.clN.sorted.bam" "Tscm_R3.mLb.clN.sorted.bam" "Tsem_R2.mLb.clN.sorted.bam" "Tsem_R1.mLb.clN.sorted.bam" "Tscm_R2.mLb.clN.sorted.bam" "Tsem_R3.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Tscm_R1.mLb.clN.sorted.bam	Tscm_R3.mLb.clN.sorted.bam	Tsem_R2.mLb.clN.sorted.bam	Tsem_R1.mLb.clN.sorted.bam	Tscm_R2.mLb.clN.sorted.bam	Tsem_R3.mLb.clN.sorted.bam
Interval_1	chr1	10147	10586	+	440	1	7	4	7	3	15
Interval_2	chr1	180752	181031	+	280	3	7	4	2	4	13
Interval_3	chr1	181250	181666	+	417	6	16	3	6	3	32
Interval_4	chr1	191304	192008	+	705	7	20	16	18	22	42
Interval_5	chr1	629784	630131	+	348	73	75	72	77	73	70
Interval_6	chr1	631700	631931	+	232	41	44	37	43	51	22
Interval_7	chr1	633843	634447	+	605	168	171	157	158	161	143
Interval_8	chr1	778402	779123	+	722	122	212	109	134	159	172
Interval_9	chr1	817246	817446	+	201	4	7	3	0	7	5
Interval_10	chr1	820431	820733	+	303	3	3	4	4	5	14
Interval_11	chr1	827084	827797	+	714	67	93	56	69	70	81
Interval_12	chr1	842134	842478	+	345	14	21	7	9	12	9
Interval_13	chr1	844432	844823	+	392	6	21	7	9	15	7
Interval_14	chr1	858014	858358	+	345	4	14	3	4	6	5
Interval_15	chr1	869560	870083	+	524	15	22	12	26	21	26
Interval_16	chr1	904477	904856	+	380	15	32	10	14	31	33
Interval_17	chr1	959069	959454	+	386	40	57	28	43	40	55
Interval_18	chr1	966743	967198	+	456	27	42	17	25	25	38
Interval_19	chr1	976028	976375	+	348	8	19	5	12	5	25
Interval_20	chr1	984288	984503	+	216	2	5	3	8	8	15
Interval_21	chr1	996248	996455	+	208	5	13	5	5	8	15
Interval_22	chr1	1000655	1001038	+	384	13	16	13	31	5	24
Interval_23	chr1	1001897	1002118	+	222	5	2	6	11	3	12
Interval_24	chr1	1013203	1013929	+	727	61	158	78	64	107	129
Interval_25	chr1	1019244	1019585	+	342	15	26	10	22	15	25
Interval_26	chr1	1032911	1033369	+	459	31	41	25	37	44	47
Interval_27	chr1	1040633	1041136	+	504	29	50	24	36	39	50
Interval_28	chr1	1059531	1059731	+	201	17	18	10	23	18	11
Interval_29	chr1	1063930	1064620	+	691	100	163	93	161	126	173
Interval_30	chr1	1068785	1068999	+	215	26	18	6	30	19	22
Interval_31	chr1	1069180	1069539	+	360	29	43	16	43	32	49
Interval_32	chr1	1069849	1070183	+	335	10	4	9	17	6	38
Interval_33	chr1	1079628	1080021	+	394	8	16	9	21	22	17
Interval_34	chr1	1098993	1099835	+	843	35	36	4	4	26	10
Interval_35	chr1	1115891	1116527	+	637	112	141	79	159	120	124
Interval_36	chr1	1122048	1122517	+	470	8	21	13	16	26	33
Interval_37	chr1	1137292	1137690	+	399	24	18	14	18	26	15
Interval_38	chr1	1144061	1144466	+	406	16	22	12	6	36	17
Interval_39	chr1	1157453	1157895	+	443	9	15	12	14	9	27
Interval_40	chr1	1158054	1158329	+	276	11	11	7	9	12	7
Interval_41	chr1	1173647	1174088	+	442	33	13	14	15	37	7
Interval_42	chr1	1201387	1201811	+	425	39	26	15	60	20	27
Interval_43	chr1	1207971	1208500	+	530	61	81	29	64	41	49
Interval_44	chr1	1212805	1213213	+	409	21	30	18	30	17	30
Interval_45	chr1	1213496	1213696	+	201	11	16	5	15	6	18
Interval_46	chr1	1219434	1219641	+	208	14	11	3	8	5	2
Interval_47	chr1	1231847	1232295	+	449	68	99	66	89	89	99
Interval_48	chr1	1250797	1251402	+	606	23	55	28	36	50	44
Interval_49	chr1	1265139	1265339	+	201	2	8	0	2	6	7
Interval_50	chr1	1273773	1274281	+	509	29	36	31	55	38	37
Interval_51	chr1	1287355	1287637	+	283	3	3	2	8	5	18
Interval_52	chr1	1291843	1292048	+	206	4	14	5	5	7	5
Interval_53	chr1	1305440	1305938	+	499	50	79	37	53	68	78
Interval_54	chr1	1307999	1308818	+	820	107	131	80	162	111	111
Interval_55	chr1	1324419	1325214	+	796	70	65	39	97	65	75
